,25년 1월,25년 2월,25년 3월,25년 4월,25년 5월,25년 6월,25년 7월,25년 8월,25년 9월,25년 10월, 25년 11월 , 25년 12월 , 26년 1월 , 26년 2월(e) , 26년 3월(e) , 26년 4월(e) , 26년 5월(e) , 26년 6월(e) , 26년 7월(e) , 26년 8월(e) , 26년 9월(e) , 26년 10월(e) , 26년 11월(e) , 26년 12월(e) , 26년 계 
총자산,"2,026,715 ","2,032,568 ","1,944,504 ","1,902,600 ","1,901,415 ","1,891,404 ","2,054,160 ","2,150,718 ","2,145,196 ","2,120,734 ","2,204,353 ","2,215,497 ","2,293,786 ","2,296,165 ","2,293,066 ","2,202,105 ","2,300,215 ","2,318,383 ","2,394,091 ","2,464,318 ","2,451,264 ","2,426,447 ","2,514,039 ","2,571,576 ","2,571,576 "
현금 및 현금성 자산,"98,995 ","124,563 ","79,496 ","49,628 ","49,506 ","88,735 ","122,501 ","189,816 ","182,075 ","164,728 ","224,532 ","270,871 ","315,849 ","369,150 ","366,038 ","296,281 ","391,337 ","563,530 ","602,770 ","660,390 ","652,571 ","639,510 ","695,954 ","766,383 ","766,383 "
매출채권,"197,026 ","167,769 ","121,394 ","122,013 ","134,317 ","80,448 ","204,495 ","217,406 ","203,775 ","187,861 ","237,266 ","196,536 ","235,049 ","175,314 ","168,962 ","156,572 ","183,093 ","174,557 ","224,132 ","227,536 ","208,426 ","178,025 ","219,020 ","214,872 ","214,872 "
재고자산,"221,739 ","230,897 ","232,761 ","223,579 ","216,752 ","217,047 ","224,540 ","240,455 ","257,531 ","261,184 ","238,778 ","229,957 ","231,151 ","241,671 ","256,792 ","248,574 ","227,692 ","221,224 ","211,638 ","221,323 ","238,132 ","256,888 ","246,163 ","237,133 ","237,133 "
(재고자산 평가충당금),"(11,627)","(11,411)","(18,154)","(17,756)","(17,764)","(17,739)","(18,339)","(17,826)","(15,507)","(15,386)","(13,381)","(10,683)","(11,364)","(10,517)","(16,096)","(15,637)","(15,480)","(15,393)","(16,527)","(17,003)","(18,533)","(18,861)","(16,888)","(16,304)","(16,304)"
투자자산,"674,964 ","674,681 ","673,312 ","673,312 ","673,312 ","673,396 ","673,396 ","673,407 ","671,474 ","671,511 ","671,511 ","671,707 ","671,710 ","671,710 ","671,710 ","671,710 ","671,710 ","671,710 ","671,710 ","671,710 ","671,710 ","671,710 ","671,710 ","671,710 ","671,710 "
유무형자산,"609,264 ","609,827 ","611,019 ","610,461 ","608,790 ","607,960 ","605,812 ","605,279 ","605,413 ","604,048 ","603,133 ","599,030 ","597,168 ","596,614 ","595,436 ","596,382 ","595,640 ","458,532 ","458,145 ","460,139 ","460,736 ","462,953 ","463,857 ","465,559 ","465,559 "
사용권자산,"152,900 ","149,389 ","146,937 ","147,093 ","144,642 ","142,525 ","140,267 ","137,963 ","135,457 ","134,757 ","132,475 ","130,687 ","130,687 ","128,687 ","126,687 ","124,687 ","122,687 ","120,687 ","118,687 ","116,687 ","114,687 ","112,687 ","110,687 ","108,687 ","108,687 "
기타채권,"51,948 ","54,786 ","59,409 ","56,558 ","55,840 ","65,529 ","70,193 ","72,566 ","69,488 ","76,686 ","75,740 ","96,969 ","95,144 ","95,144 ","95,144 ","95,144 ","95,144 ","95,144 ","95,144 ","95,144 ","95,144 ","95,144 ","95,144 ","95,144 ","95,144 "
기타자산,"31,506 ","32,068 ","38,331 ","37,714 ","36,020 ","33,503 ","31,297 ","31,653 ","35,490 ","35,345 ","34,297 ","30,423 ","28,391 ","28,391 ","28,391 ","28,391 ","28,391 ","28,391 ","28,391 ","28,391 ","28,391 ","28,391 ","28,391 ","28,391 ","28,391 "
총부채,"(490,984)","(468,588)","(435,129)","(380,754)","(358,442)","(318,573)","(424,844)","(455,853)","(423,707)","(370,333)","(435,631)","(392,260)","(429,177)","(414,678)","(402,444)","(404,436)","(482,455)","(482,779)","(518,052)","(550,901)","(515,045)","(473,312)","(529,604)","(538,951)","(531,554)"
매입채무,"(82,144)","(93,063)","(69,813)","(38,729)","(40,247)","(53,644)","(91,209)","(132,670)","(139,941)","(99,867)","(69,012)","(90,452)","(95,655)","(77,218)","(73,540)","(50,115)","(46,741)","(57,771)","(70,952)","(98,206)","(101,336)","(83,642)","(68,539)","(88,811)","(88,811)"
미지급금,"(36,027)","(36,954)","(98,569)","(41,038)","(32,724)","(27,259)","(23,470)","(26,828)","(34,936)","(42,761)","(47,734)","(45,522)","(33,012)","(60,001)","(91,605)","(95,079)","(171,985)","(160,442)","(99,688)","(118,980)","(132,587)","(121,261)","(105,656)","(75,884)","(94,726)"
차입금,"(20,000)","(20,000)","(20,000)","(20,000)",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"(1,186)","(6,476)","(11,211)","(11,242)","(15,054)","(27,447)","(32,736)",0 
법인세부채,"(81,072)","(90,019)","(65,557)","(31,271)","(38,284)","(46,396)","(63,699)","(84,251)","(76,949)","(56,638)","(72,751)","(88,979)","(102,306)","(107,755)","(69,595)","(27,038)","(33,525)","(35,176)","(48,231)","(60,300)","(47,675)","(33,151)","(43,257)","(58,816)","(65,315)"
